id_org_competence,org_competence_1,objective_1,topic_count,sub_topic_count,topic_subtopic_count,top5_topsub
0,new potential business exploration,explore new service platform technologies evaluate opportunities support telkom future business,"{'Business': 21, 'Marketing': 3, 'Personal Development': 1}","{'Entrepreneurship': 8, 'Strategy': 4, 'Data & Analytics': 4, 'Home Business': 2, 'Industry': 2, 'Branding': 1, 'Management': 1, 'Public Relations': 1, 'Personal Transformation': 1, 'Growth Hacking': 1}","{'Business, Entrepreneurship': 8, 'Business, Data & Analytics': 4, 'Business, Strategy': 4, 'Business, Industry': 2, 'Business, Home Business': 2, 'Business, Management': 1, 'Marketing, Branding': 1, 'Marketing, Public Relations': 1, 'Marketing, Growth Hacking': 1, 'Personal Development, Personal Transformation': 1}","['business entrepreneurship', 'business data analytics', 'business strategy', 'business industry', 'business home business']"
1,idea customer validation,valid information customer problem initial idea effective solution customer,"{'Business': 20, 'Marketing': 3, 'IT & Software': 1}","{'Management': 7, 'Other': 3, 'Communications': 3, 'Operations': 2, 'Strategy': 2, 'Sales': 2, 'Data & Analytics': 1, 'Entrepreneurship': 1, 'Digital Marketing': 1, 'Home Business': 1, 'Marketing Fundamentals': 1}","{'Business, Management': 7, 'Business, Communications': 3, 'Business, Operations': 2, 'Business, Sales': 2, 'Business, Strategy': 2, 'IT & Software, Other': 1, 'Marketing, Other': 1, 'Business, Home Business': 1, 'Business, Entrepreneurship': 1, 'Business, Other': 1, 'Marketing, Digital Marketing': 1, 'Marketing, Marketing Fundamentals': 1, 'Business, Data & Analytics': 1}","['business management', 'business communications', 'business operations', 'business sales', 'business strategy']"
2,product development,develop new product fit real customer requirement according idea customer validation result,"{'Business': 16, 'Marketing': 3, 'Teaching & Academics': 3, 'Design': 2, 'Development': 1}","{'Entrepreneurship': 5, 'Management': 4, 'Strategy': 4, 'Other': 2, 'Online Education': 2, 'Marketing Fundamentals': 2, 'Branding': 1, 'Operations': 1, 'Engineering': 1, 'Web Development': 1, 'Design Thinking': 1, 'Project Management': 1}","{'Business, Entrepreneurship': 5, 'Business, Management': 4, 'Business, Strategy': 4, 'Teaching & Academics, Online Education': 2, 'Marketing, Marketing Fundamentals': 2, 'Design, Design Thinking': 1, 'Development, Web Development': 1, 'Business, Other': 1, 'Marketing, Branding': 1, 'Business, Operations': 1, 'Business, Project Management': 1, 'Design, Other': 1, 'Teaching & Academics, Engineering': 1}","['business entrepreneurship', 'business management', 'business strategy', 'teaching academics online education', 'marketing marketing fundamentals']"
3,user experience user interface design,design user experience using new product corresponding user interfaces,"{'Design': 21, 'Development': 2, 'IT & Software': 1, 'Design Tools': 1}","{'User Experience': 17, 'Web Design': 2, 'Graphic Design': 2, 'Mobile Apps': 1, 'Other': 1, 'Programming Languages': 1, 'Figma': 1}","{'Design, User Experience': 17, 'Design, Web Design': 2, 'Design, Graphic Design': 2, 'Development, Mobile Apps': 1, 'Development, Programming Languages': 1, 'Design Tools, Figma': 1, 'IT & Software, Other': 1}","['design user experience', 'design web design', 'design graphic design', 'development mobile apps', 'development programming languages']"
4,strategic management,develop date corporate strategic planning css including study firms outperforms others analysis decisions actions undertake order create sustain competitive advantages,"{'Business': 24, 'Office Productivity': 1}","{'Strategy': 8, 'Management': 6, 'Operations': 4, 'Other': 3, 'Entrepreneurship': 1, 'Microsoft': 1, 'Finance': 1, 'Project Management': 1}","{'Business, Strategy': 8, 'Business, Management': 6, 'Business, Operations': 4, 'Business, Other': 3, 'Business, Project Management': 1, 'Office Productivity, Microsoft': 1, 'Business, Finance': 1, 'Business, Entrepreneurship': 1}","['business strategy', 'business management', 'business operations', 'business other', 'business project management']"
5,portfolio management,develop times portfolio business roadmap including implementation new initiatives management tracking review benefit realization analysis expiration management decision making,"{'Business': 17, 'Finance & Accounting': 5, 'IT & Software': 1, 'Design': 1, 'Teaching & Academics': 1}","{'Finance': 9, 'Project Management': 8, 'Management': 2, 'Financial Modeling & Analysis': 1, 'User Experience': 1, 'Investing & Trading': 1, 'IT Certification': 1, 'Test Prep': 1, 'Finance Cert & Exam Prep': 1}","{'Business, Project Management': 8, 'Business, Finance': 7, 'Business, Management': 2, 'Finance & Accounting, Finance': 2, 'IT & Software, IT Certification': 1, 'Teaching & Academics, Test Prep': 1, 'Finance & Accounting, Financial Modeling & Analysis': 1, 'Design, User Experience': 1, 'Finance & Accounting, Investing & Trading': 1, 'Finance & Accounting, Finance Cert & Exam Prep': 1}","['business project management', 'business finance', 'business management', 'finance accounting finance', 'it software it certification']"
6,global business,develop sustain times business global market trough international business expansion,"{'Business': 22, 'Marketing': 3}","{'Entrepreneurship': 7, 'Strategy': 3, 'Management': 3, 'Home Business': 2, 'Industry': 2, 'Data & Analytics': 2, 'Branding': 1, 'Digital Marketing': 1, 'Other': 1, 'Human Resources': 1, 'Finance': 1, 'Growth Hacking': 1}","{'Business, Entrepreneurship': 7, 'Business, Management': 3, 'Business, Strategy': 3, 'Business, Home Business': 2, 'Business, Data & Analytics': 2, 'Business, Industry': 2, 'Business, Other': 1, 'Marketing, Branding': 1, 'Marketing, Digital Marketing': 1, 'Business, Human Resources': 1, 'Business, Finance': 1, 'Marketing, Growth Hacking': 1}","['business entrepreneurship', 'business management', 'business strategy', 'business home business', 'business data analytics']"
7,service product development,development design new service product trough engineering business technical aspect fulfill market requirement,"{'Business': 18, 'Development': 2, 'IT & Software': 2, 'Marketing': 2, 'Office Productivity': 1}","{'Management': 11, 'Operations': 5, 'IT Certification': 2, 'SAP': 1, 'Branding': 1, 'Strategy': 1, 'Software Engineering': 1, 'Entrepreneurship': 1, 'Affiliate Marketing': 1, 'Web Development': 1}","{'Business, Management': 11, 'Business, Operations': 5, 'IT & Software, IT Certification': 2, 'Development, Software Engineering': 1, 'Office Productivity, SAP': 1, 'Marketing, Affiliate Marketing': 1, 'Development, Web Development': 1, 'Business, Entrepreneurship': 1, 'Marketing, Branding': 1, 'Business, Strategy': 1}","['business management', 'business operations', 'it software it certification', 'development software engineering', 'office productivity sap']"
8,business portfolio management,develop identify new business times portfolio,"{'Business': 19, 'Finance & Accounting': 2, 'Design': 2, 'Personal Development': 1, 'IT & Software': 1}","{'Strategy': 4, 'Management': 4, 'Finance': 4, 'Project Management': 3, 'Entrepreneurship': 2, 'Operations': 2, 'User Experience': 2, 'Financial Modeling & Analysis': 1, 'Productivity': 1, 'IT Certification': 1, 'Finance Cert & Exam Prep': 1}","{'Business, Management': 4, 'Business, Strategy': 4, 'Business, Finance': 4, 'Business, Project Management': 3, 'Business, Operations': 2, 'Design, User Experience': 2, 'Business, Entrepreneurship': 2, 'Personal Development, Productivity': 1, 'Finance & Accounting, Financial Modeling & Analysis': 1, 'IT & Software, IT Certification': 1, 'Finance & Accounting, Finance Cert & Exam Prep': 1}","['business management', 'business strategy', 'business finance', 'business project management', 'business operations']"
9,business incubation,development design new service product trough business incubation fullfill new market,"{'Business': 23, 'IT & Software': 2}","{'Entrepreneurship': 12, 'Strategy': 7, 'Other': 2, 'Data & Analytics': 2, 'IT Certification': 1, 'Project Management': 1}","{'Business, Entrepreneurship': 12, 'Business, Strategy': 7, 'Business, Data & Analytics': 2, 'Business, Other': 1, 'IT & Software, IT Certification': 1, 'IT & Software, Other': 1, 'Business, Project Management': 1}","['business entrepreneurship', 'business strategy', 'business data analytics', 'business other', 'it software it certification']"
10,business turnaround,company renewal value process making plan analysis leverage cure subsidiaries business performance problems track back high sustain solvability,"{'Business': 24, 'IT & Software': 1}","{'Entrepreneurship': 12, 'Data & Analytics': 5, 'Strategy': 5, 'Other': 1, 'Industry': 1, 'Project Management': 1}","{'Business, Entrepreneurship': 12, 'Business, Data & Analytics': 5, 'Business, Strategy': 5, 'IT & Software, Other': 1, 'Business, Industry': 1, 'Business, Project Management': 1}","['business entrepreneurship', 'business data analytics', 'business strategy', 'it software other', 'business industry']"
11,strategic planning,develop company strategic business plan css incl yearly implementation plan,"{'Business': 24, 'Finance & Accounting': 1}","{'Strategy': 14, 'Management': 2, 'Other': 2, 'Project Management': 2, 'Entrepreneurship': 1, 'Operations': 1, 'Data & Analytics': 1, 'Human Resources': 1, 'Finance': 1}","{'Business, Strategy': 14, 'Business, Other': 2, 'Business, Management': 2, 'Business, Project Management': 2, 'Finance & Accounting, Finance': 1, 'Business, Human Resources': 1, 'Business, Entrepreneurship': 1, 'Business, Data & Analytics': 1, 'Business, Operations': 1}","['business strategy', 'business other', 'business management', 'business project management', 'finance accounting finance']"
12,alliance acquisition,maintain company growth times business trough process,"{'Business': 17, 'Marketing': 4, 'Finance & Accounting': 3, 'Personal Development': 1}","{'Real Estate': 7, 'Finance': 6, 'Entrepreneurship': 2, 'Sales': 2, 'Human Resources': 2, 'Content Marketing': 1, 'Digital Marketing': 1, 'Strategy': 1, 'Product Marketing': 1, 'Memory & Study Skills': 1, 'Marketing Fundamentals': 1}","{'Business, Real Estate': 7, 'Business, Finance': 3, 'Finance & Accounting, Finance': 3, 'Business, Human Resources': 2, 'Business, Entrepreneurship': 2, 'Business, Sales': 2, 'Marketing, Content Marketing': 1, 'Marketing, Digital Marketing': 1, 'Personal Development, Memory & Study Skills': 1, 'Marketing, Marketing Fundamentals': 1, 'Marketing, Product Marketing': 1, 'Business, Strategy': 1}","['business real estate', 'business finance', 'finance accounting finance', 'business human resources', 'business entrepreneurship']"
13,innovation business ecosystem management,develop sustain times business regional domestic market develop build buy strategy current ecosystem business innovation programs explore new initiatives recommended new business ecosystem innovation programs,"{'Business': 22, 'Personal Development': 1, 'IT & Software': 1, 'Design': 1}","{'Strategy': 7, 'Entrepreneurship': 5, 'Management': 4, 'Project Management': 3, 'Other': 2, 'Operations': 1, 'Leadership': 1, 'Design Thinking': 1, 'IT Certification': 1}","{'Business, Strategy': 7, 'Business, Entrepreneurship': 5, 'Business, Management': 4, 'Business, Project Management': 3, 'Business, Other': 2, 'Design, Design Thinking': 1, 'IT & Software, IT Certification': 1, 'Personal Development, Leadership': 1, 'Business, Operations': 1}","['business strategy', 'business entrepreneurship', 'business management', 'business project management', 'business other']"
